rank,city,country,pop2022
1,Tokyo,Japan,37274000
2,Delhi,India,32065760
3,Shanghai,China,28516904
4,Dhaka,Bangladesh,22478116
5,Sao Paulo,Brazil,22429800
6,Mexico City,Mexico,22085140
7,Cairo,Egypt,21750020
8,Beijing,China,21333332
9,Mumbai,India,20961472
10,Osaka,Japan,19059856
11,Chongqing,China,16874740
12,Karachi,Pakistan,16839950
13,Kinshasa,DR Congo,15628085
14,Lagos,Nigeria,15387639
15,Istanbul,Turkey,15636243
16,Buenos Aires,Argentina,15369919
17,Kolkata,India,15133888
18,Manila,Philippines,14406059
19,Guangzhou,China,13964637
20,Tianjin,China,14011828
