rank,city,country,pop2022
21,Lahore,Pakistan,13541764
22,Rio de Janeiro,Brazil,13634274
23,Bangalore,India,13193035
24,Shenzhen,China,12831330
25,Moscow,Russia,12640818
26,Chennai,India,11503293
27,Bogota,Colombia,11344312
28,Jakarta,Indonesia,11074811
29,Paris,France,11142303
30,Lima,Peru,11044607
31,Bangkok,Thailand,10899698
32,Hyderabad,India,10534418
33,Seoul,South Korea,9975709
34,Nanjing,China,9429381
35,Chengdu,China,9478521
36,London,United Kingdom,9540576
37,Nagoya,Japan,9571596
38,Tehran,Iran,9381546
39,Ho Chi Minh City,Vietnam,9077158
40,Luanda,Angola,8952496
